id,Date,State,Total Confirmed Cases,Total Deaths
384,Fri 10/9,Wisconsin,152831,1453
385,Fri 10/9,Wyoming,7335,54
386,Sat 10/10,Alabama,164526,2664
387,Sat 10/10,Alaska,10350,56
388,Sat 10/10,Arizona,224985,5759
389,Sat 10/10,Arkansas,92220,1552
390,Sat 10/10,California,854302,16568
391,Sat 10/10,Colorado,78047,2121
392,Sat 10/10,Connecticut,60038,4530
393,Sat 10/10,Delaware,21998,653
394,Sat 10/10,District of Columbia,15918,636
395,Sat 10/10,Florida,728913,15185
396,Sat 10/10,Georgia,335351,7223
397,Sat 10/10,Guam,4025,60
398,Sat 10/10,Hawaii,13532,167
399,Sat 10/10,Idaho,47927,508
400,Sat 10/10,Illinois,320283,9235
401,Sat 10/10,Indiana,135789,3782
402,Sat 10/10,Iowa,99099,1460
403,Sat 10/10,Kansas,67193,768
404,Sat 10/10,Kentucky,81630,1293
405,Sat 10/10,Louisiana,173406,5635
406,Sat 10/10,Maine,5696,143
407,Sat 10/10,Maryland,131169,3995
408,Sat 10/10,Massachusetts,138340,9587
409,Sat 10/10,Michigan,149406,7221
410,Sat 10/10,Minnesota,110881,2184
411,Sat 10/10,Mississippi,104638,3096
412,Sat 10/10,Missouri,148199,2483
413,Sat 10/10,Montana,18118,209
414,Sat 10/10,Nebraska,51887,525
415,Sat 10/10,Nevada,85463,1659
416,Sat 10/10,New Hampshire,9092,455
417,Sat 10/10,New Jersey,214665,16171
418,Sat 10/10,New Mexico,32722,907
419,Sat 10/10,New York,477870,32875
420,Sat 10/10,North Carolina,229959,3786
421,Sat 10/10,North Dakota,26632,340
422,Sat 10/10,Northern Mariana Islands,77,2
423,Sat 10/10,Ohio,167458,4997
424,Sat 10/10,Oklahoma,98621,1095
425,Sat 10/10,Oregon,36925,600
426,Sat 10/10,Pennsylvania,175804,8421
427,Sat 10/10,Puerto Rico,53364,728
428,Sat 10/10,Rhode Island,26294,1130
429,Sat 10/10,South Carolina,156621,3551
430,Sat 10/10,South Dakota,27947,286
431,Sat 10/10,Tennessee,209593,2729
432,Sat 10/10,Texas,829758,17019
433,Sat 10/10,Utah,84697,512
434,Sat 10/10,Vermont,1857,58
435,Sat 10/10,Virgin Islands,1325,20
436,Sat 10/10,Virginia,157905,3354
437,Sat 10/10,Washington,97223,2289
438,Sat 10/10,West Virginia,17913,381
439,Sat 10/10,Wisconsin,155752,1470
440,Sat 10/10,Wyoming,7455,54
441,Sun 10/11,Alabama,165342,2664
442,Sun 10/11,Alaska,10608,56
443,Sun 10/11,Arizona,225575,5759
444,Sun 10/11,Arkansas,92833,1569
445,Sun 10/11,California,857076,16581
446,Sun 10/11,Colorado,78752,2134
447,Sun 10/11,Connecticut,60038,4530
448,Sun 10/11,Delaware,22130,654
449,Sun 10/11,District of Columbia,15984,637
450,Sun 10/11,Florida,734483,15363
451,Sun 10/11,Georgia,336586,7246
452,Sun 10/11,Guam,4047,61
453,Sun 10/11,Hawaii,13633,168
454,Sun 10/11,Idaho,48155,508
455,Sun 10/11,Illinois,322985,9245
456,Sun 10/11,Indiana,137359,3789
457,Sun 10/11,Iowa,99941,1462
458,Sun 10/11,Kansas,67231,769
459,Sun 10/11,Kentucky,82358,1295
460,Sun 10/11,Louisiana,174587,5655
461,Sun 10/11,Maine,5723,143
462,Sun 10/11,Maryland,131853,3999
463,Sun 10/11,Massachusetts,138903,9604
464,Sun 10/11,Michigan,149448,7221
465,Sun 10/11,Minnesota,112321,2194
466,Sun 10/11,Mississippi,104932,3101
467,Sun 10/11,Missouri,148481,2483
468,Sun 10/11,Montana,18733,210
469,Sun 10/11,Nebraska,52382,525
470,Sun 10/11,Nevada,85922,1663
471,Sun 10/11,New Hampshire,9143,456
472,Sun 10/11,New Jersey,215416,16174
