id,Position,Track Name,Artist,Streams,URL
55,55,Se Te Nota (with Guaynaa),Lele Pons,1238051,https://open.spotify.com/track/11EnQRgRMJwMAesfkB5pnu
56,56,Dreams - 2004 Remaster,Fleetwood Mac,1228271,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
57,57,La Curiosidad,Jay Wheeler,1223564,https://open.spotify.com/track/4HYDUMY0xSpeBr0AMY9cUz
58,58,Amor ou o Litrão,Petter Ferraz,1208462,https://open.spotify.com/track/7qmnP8Woc47dLSrMD5MxL1
59,59,Mi Niña,Wisin,1203700,https://open.spotify.com/track/2bgcUk2A3jjKbCJ7KPquTi
60,60,Put Your Records On,Ritt Momney,1202754,https://open.spotify.com/track/6AGOKlMZWLCaEJGnaROtF9
61,61,Sweater Weather,The Neighbourhood,1200153,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
62,62,Rain On Me (with Ariana Grande),Lady Gaga,1190069,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
63,63,The Box,Roddy Ricch,1183148,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
64,64,Si Me Tomo Una Cerveza,Migrantes,1175384,https://open.spotify.com/track/3lCbsHaN1wCxyDzcNN2x4N
65,65,Before You Go,Lewis Capaldi,1173020,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
66,66,Heather,Conan Gray,1171165,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
67,67,Holy (feat. Chance The Rapper),Justin Bieber,1170191,https://open.spotify.com/track/5u1n1kITHCxxp8twBcZxWy
68,68,"Ay, DiOs Mío!",KAROL G,1168278,https://open.spotify.com/track/7x4ASXYEKfQBCewcZhK776
69,69,Jeans,Justin Quiles,1158989,https://open.spotify.com/track/3GtnId3Cm1Xa6joCj08nzW
70,70,bad guy,Billie Eilish,1152498,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
71,71,Paradise (feat. Dermot Kennedy),MEDUZA,1148824,https://open.spotify.com/track/6ft4hAq6yde8jPZY2i5zLr
72,72,Breaking Me,Topic,1144031,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
73,73,Say So,Doja Cat,1135983,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
74,74,Body,Megan Thee Stallion,1123865,https://open.spotify.com/track/0A1hoCfMLkiAgvhWkkucJa
75,75,GIRL LIKE ME,Black Eyed Peas,1118833,https://open.spotify.com/track/2vBET2pmrQqafaS6zIaYta
76,76,UN DIA (ONE DAY) (Feat. Tainy),J Balvin,1116377,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e
77,77,Meia Noite (Você tem meu Whatsapp),Tarcísio do Acordeon,1115753,https://open.spotify.com/track/6sPBi0qLI6KM3yXX56NxsA
78,78,death bed (coffee for your head),Powfu,1111029,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
79,79,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,1095377,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
80,80,Parce (feat. Justin Quiles),Maluma,1088270,https://open.spotify.com/track/4RJz8NfIe09gpKMiRUWKhJ
81,81,Tattoo - Remix with Camilo,Rauw Alejandro,1082459,https://open.spotify.com/track/4G3PTss3mU33Tau7t4KbwE
82,82,Investe Em Mim,Jonas Esticado,1072347,https://open.spotify.com/track/15k1TDabqSEmyXOwMq9RM7
83,83,Take You Dancing,Jason Derulo,1069080,https://open.spotify.com/track/59qrUpoplZxbIZxk6X0Bm3
84,84,Life Goes On,BTS,1059873,https://open.spotify.com/track/249gnXrbfmV8NG6jTEMSwD
85,85,Don't Stop Me Now - Remastered 2011,Queen,1049341,https://open.spotify.com/track/5T8EDUDqKcs6OSOwEsfqG7
86,86,Wishing Well,Juice WRLD,1041822,https://open.spotify.com/track/2U5WueTLIK5WJLD7mvDODv
87,87,"Nathy Peluso: Bzrp Music Sessions, Vol. 36",Bizarrap,1037827,https://open.spotify.com/track/78SeXVRJ7KCqVmOwTiFjnI
88,88,Lucid Dreams,Juice WRLD,1024485,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
89,89,Wonder,Shawn Mendes,1020663,https://open.spotify.com/track/6ZuahEctZD6w75peme58hm
90,90,Tá Rocheda,Os Barões Da Pisadinha,1016049,https://open.spotify.com/track/3dPvQLKl42dMYWV4LWRTLK
91,91,Alô Ambev (Segue Sua Vida) - Ao Vivo,Zé Neto & Cristiano,1004993,https://open.spotify.com/track/5m5aY6S9ttfIG157xli2Rs
92,92,Rita,Tierry,1003958,https://open.spotify.com/track/1nDCZBI8MaHXI2f36dnQyG
93,93,I Gotta Feeling,Black Eyed Peas,1003654,https://open.spotify.com/track/4kLLWz7srcuLKA7Et40PQR
94,94,Señorita,Shawn Mendes,999294,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
95,95,Memories,Maroon 5,997917,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
96,96,Adore You,Harry Styles,997161,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
97,97,Amor da Despedida,Os Barões Da Pisadinha,988408,https://open.spotify.com/track/0WlmiIK5qFQ4dAB4mCA4sI
98,98,SO DONE,The Kid LAROI,978031,https://open.spotify.com/track/3qgPpwtuRu5oP8EtFSj8HE
99,99,MODO TURBO,Luísa Sonza,975923,https://open.spotify.com/track/0YqTL3nSL36OFdHwHoqCag
100,100,Golden,Harry Styles,965834,https://open.spotify.com/track/45S5WTQEGOB1VHr1Q4FuPl
101,101,Shape of You,Ed Sheeran,958423,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
102,102,goosebumps,Travis Scott,954268,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
103,103,Lance Individual,Jorge & Mateus,951717,https://open.spotify.com/track/7GLWWrk1YlkPYqJK3ynIA0
104,104,Life Is Good (feat. Drake),Future,951381,https://open.spotify.com/track/1K5KBOgreBi5fkEHvg5ap3
105,105,pov,Ariana Grande,944883,https://open.spotify.com/track/3UoULw70kMsiVXxW0L3A33
106,106,Hawái - Remix,Maluma,942530,https://open.spotify.com/track/0GzuHFG4Ql6DoyxFRnIk3F
107,107,La Jeepeta - Remix,Nio Garcia,942101,https://open.spotify.com/track/6bvfJf4KjonPMuPfGfy3S2
108,108,lovely (with Khalid),Billie Eilish,934381,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
109,109,Despeinada,Ozuna,925673,https://open.spotify.com/track/0JAZWvvqttGFm4UMDsPQXC
110,110,Bohemian Rhapsody - Remastered 2011,Queen,923989,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
111,111,Come & Go (with Marshmello),Juice WRLD,922045,https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG
112,112,I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,920815,https://open.spotify.com/track/2tUBqZG2AbRi7Q0BIrVrEj
113,113,Hello (feat. A Boogie Wit da Hoodie),Pop Smoke,909979,https://open.spotify.com/track/2r6OAV3WsYtXuXjvJ1lIDi
114,114,"Ele É Ele, Eu Sou Eu",Wesley Safadão,907571,https://open.spotify.com/track/7EWXP47VlXKO3r7mNxuWHw
115,115,Letícia,Zé Vaqueiro,898359,https://open.spotify.com/track/2R1OgezGfBMeiAcMpJ1EkH
116,116,Robbery,Juice WRLD,888403,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
117,117,Polvo,Nicky Jam,883344,https://open.spotify.com/track/68mrW6gXHgupgSiDHgaDi5
118,118,Falling,Trevor Daniel,883010,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
119,119,Sunday Best,Surfaces,880838,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo
120,120,September,"Earth, Wind & Fire",872621,https://open.spotify.com/track/4f2GB5ZC7vOUYPAg69N2Xw
121,121,Break My Heart,Dua Lipa,871785,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
122,122,Reminds Me Of You,Juice WRLD,869653,https://open.spotify.com/track/5YSHygGN9D0mID1NsVd5my
123,123,Can't Hold Us - feat. Ray Dalton,Macklemore & Ryan Lewis,865972,https://open.spotify.com/track/3bidbhpOYeV4knp8AIu8Xn
124,124,Ride It,Regard,865701,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
125,125,Figurinha - Ao Vivo,Douglas & Vinicius,865531,https://open.spotify.com/track/187Pge0WmJNoS73kaIORSE
126,126,Toosie Slide,Drake,858949,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
127,127,POPSTAR (feat. Drake),DJ Khaled,850408,https://open.spotify.com/track/6EDO9iiTtwNv6waLwa1UUq
128,128,Midnight Sky,Miley Cyrus,844772,https://open.spotify.com/track/4i2qxFEVVUi8yOYoxB8TCX
129,129,HIGHEST IN THE ROOM,Travis Scott,844535,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
130,130,Head Shoulders Knees & Toes (feat. Norma Jean Martine),Ofenbach,844338,https://open.spotify.com/track/6i7zAdNhzUN2k1HcrBxPHG
131,131,Kings & Queens,Ava Max,842326,https://open.spotify.com/track/7a53HqqArd4b9NF4XAmlbI
132,132,Shallow,Lady Gaga,837930,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
133,133,Só Tem Eu,Zé Felipe,835306,https://open.spotify.com/track/1X0MaGErD8rcspqQs9s2m0
134,134,Train Wreck,James Arthur,834129,https://open.spotify.com/track/55Am8neGJkdj2ADaM3aw5H
135,135,Closer,The Chainsmokers,833732,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
136,136,Go Crazy,Chris Brown,832969,https://open.spotify.com/track/1IIKrJVP1C9N7iPtG6eOsK
137,137,Godzilla (feat. Juice WRLD),Eminem,832822,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
138,138,Mi Cuarto,Jerry Di,831173,https://open.spotify.com/track/6fmQjRuo7XvRFCK2qex5hQ
139,139,Intentions (feat. Quavo),Justin Bieber,826972,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
140,140,ROXANNE,Arizona Zervas,826765,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
141,141,Mood Swings (feat. Lil Tjay),Pop Smoke,821341,https://open.spotify.com/track/5rZlwNFl01HqLWBQGryKSm
142,142,I Don't Care (with Justin Bieber),Ed Sheeran,820795,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
143,143,Sofia,Clairo,815795,https://open.spotify.com/track/7B3z0ySL9Rr0XvZEAjWZzM
144,144,Wake Me Up,Avicii,813667,https://open.spotify.com/track/0nrRP2bk19rLc0orkWPQk2
145,145,Caramelo,Ozuna,812645,https://open.spotify.com/track/5Jm4w8jmPEBTLjI9vH4fXo
146,146,rockstar (feat. 21 Savage),Post Malone,812339,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
147,147,"Whats Poppin (feat. DaBaby, Tory Lanez & Lil Wayne) [Remix] - Bonus Track",Jack Harlow,811374,https://open.spotify.com/track/0ZLuW8uOXdFNWcI40C0OC2
